DenseNet     line 1 cols 1-8 is T_Identifier 
(            line 1 cols 9-9 is '(' 
(            line 2 cols 3-3 is '(' 
features     line 2 cols 4-11 is T_Identifier 
)            line 2 cols 12-12 is ')' 
:            line 2 cols 13-13 is ':' 
Sequential   line 2 cols 15-24 is T_Sequential 
(            line 2 cols 25-25 is '(' 
(            line 3 cols 5-5 is '(' 
conv0        line 3 cols 6-10 is T_Identifier 
)            line 3 cols 11-11 is ')' 
:            line 3 cols 12-12 is ':' 
Conv2d       line 3 cols 14-19 is T_Conv2d 
(            line 3 cols 20-20 is '(' 
3            line 3 cols 21-21 is T_IntConstant (value = 3)
,            line 3 cols 22-22 is ',' 
64           line 3 cols 24-25 is T_IntConstant (value = 64)
,            line 3 cols 26-26 is ',' 
kernel_size  line 3 cols 28-38 is T_kernel_size 
=            line 3 cols 39-39 is '=' 
(            line 3 cols 40-40 is '(' 
7            line 3 cols 41-41 is T_IntConstant (value = 7)
,            line 3 cols 42-42 is ',' 
7            line 3 cols 44-44 is T_IntConstant (value = 7)
)            line 3 cols 45-45 is ')' 
,            line 3 cols 46-46 is ',' 
stride       line 3 cols 48-53 is T_stride 
=            line 3 cols 54-54 is '=' 
(            line 3 cols 55-55 is '(' 
2            line 3 cols 56-56 is T_IntConstant (value = 2)
,            line 3 cols 57-57 is ',' 
2            line 3 cols 59-59 is T_IntConstant (value = 2)
)            line 3 cols 60-60 is ')' 
,            line 3 cols 61-61 is ',' 
padding      line 3 cols 63-69 is T_padding 
=            line 3 cols 70-70 is '=' 
(            line 3 cols 71-71 is '(' 
3            line 3 cols 72-72 is T_IntConstant (value = 3)
,            line 3 cols 73-73 is ',' 
3            line 3 cols 75-75 is T_IntConstant (value = 3)
)            line 3 cols 76-76 is ')' 
,            line 3 cols 77-77 is ',' 
bias         line 3 cols 79-82 is T_bias 
=            line 3 cols 83-83 is '=' 
False        line 3 cols 84-88 is T_BoolConstant (value = false)
)            line 3 cols 89-89 is ')' 
(            line 4 cols 5-5 is '(' 
norm0        line 4 cols 6-10 is T_Identifier 
)            line 4 cols 11-11 is ')' 
:            line 4 cols 12-12 is ':' 
BatchNorm2d  line 4 cols 14-24 is T_BatchNorm2d 
(            line 4 cols 25-25 is '(' 
64           line 4 cols 26-27 is T_IntConstant (value = 64)
,            line 4 cols 28-28 is ',' 
eps          line 4 cols 30-32 is T_eps 
=            line 4 cols 33-33 is '=' 
1e-05        line 4 cols 34-38 is T_DoubleConstant (value = 1e-05)
,            line 4 cols 39-39 is ',' 
momentum     line 4 cols 41-48 is T_momentum 
=            line 4 cols 49-49 is '=' 
0.1          line 4 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 4 cols 53-53 is ',' 
affine       line 4 cols 55-60 is T_Identifier 
=            line 4 cols 61-61 is '=' 
True         line 4 cols 62-65 is T_BoolConstant (value = true)
,            line 4 cols 66-66 is ',' 
track_running_stats line 4 cols 68-86 is T_track_running_stats 
=            line 4 cols 87-87 is '=' 
True         line 4 cols 88-91 is T_BoolConstant (value = true)
)            line 4 cols 92-92 is ')' 
(            line 5 cols 5-5 is '(' 
relu0        line 5 cols 6-10 is T_Identifier 
)            line 5 cols 11-11 is ')' 
:            line 5 cols 12-12 is ':' 
ReLU         line 5 cols 14-17 is T_ReLU 
(            line 5 cols 18-18 is '(' 
inplace      line 5 cols 19-25 is T_inplace 
=            line 5 cols 26-26 is '=' 
True         line 5 cols 27-30 is T_BoolConstant (value = true)
)            line 5 cols 31-31 is ')' 
(            line 6 cols 5-5 is '(' 
pool0        line 6 cols 6-10 is T_Identifier 
)            line 6 cols 11-11 is ')' 
:            line 6 cols 12-12 is ':' 
MaxPool2d    line 6 cols 14-22 is T_MaxPool2d 
(            line 6 cols 23-23 is '(' 
