Inception3   line 1 cols 1-10 is T_Identifier 
(            line 1 cols 11-11 is '(' 
(            line 2 cols 3-3 is '(' 
Conv2d_1a_3x3 line 2 cols 4-16 is T_Identifier 
)            line 2 cols 17-17 is ')' 
:            line 2 cols 18-18 is ':' 
BasicConv2d  line 2 cols 20-30 is T_Identifier 
(            line 2 cols 31-31 is '(' 
(            line 3 cols 5-5 is '(' 
conv         line 3 cols 6-9 is T_Identifier 
)            line 3 cols 10-10 is ')' 
:            line 3 cols 11-11 is ':' 
Conv2d       line 3 cols 13-18 is T_Conv2d 
(            line 3 cols 19-19 is '(' 
3            line 3 cols 20-20 is T_IntConstant (value = 3)
,            line 3 cols 21-21 is ',' 
32           line 3 cols 23-24 is T_IntConstant (value = 32)
,            line 3 cols 25-25 is ',' 
kernel_size  line 3 cols 27-37 is T_kernel_size 
=            line 3 cols 38-38 is '=' 
(            line 3 cols 39-39 is '(' 
3            line 3 cols 40-40 is T_IntConstant (value = 3)
,            line 3 cols 41-41 is ',' 
3            line 3 cols 43-43 is T_IntConstant (value = 3)
)            line 3 cols 44-44 is ')' 
,            line 3 cols 45-45 is ',' 
stride       line 3 cols 47-52 is T_stride 
=            line 3 cols 53-53 is '=' 
(            line 3 cols 54-54 is '(' 
2            line 3 cols 55-55 is T_IntConstant (value = 2)
,            line 3 cols 56-56 is ',' 
2            line 3 cols 58-58 is T_IntConstant (value = 2)
)            line 3 cols 59-59 is ')' 
,            line 3 cols 60-60 is ',' 
bias         line 3 cols 62-65 is T_bias 
=            line 3 cols 66-66 is '=' 
False        line 3 cols 67-71 is T_BoolConstant (value = false)
)            line 3 cols 72-72 is ')' 
(            line 4 cols 5-5 is '(' 
bn           line 4 cols 6-7 is T_Identifier 
)            line 4 cols 8-8 is ')' 
:            line 4 cols 9-9 is ':' 
BatchNorm2d  line 4 cols 11-21 is T_BatchNorm2d 
(            line 4 cols 22-22 is '(' 
32           line 4 cols 23-24 is T_IntConstant (value = 32)
,            line 4 cols 25-25 is ',' 
eps          line 4 cols 27-29 is T_eps 
=            line 4 cols 30-30 is '=' 
0.001        line 4 cols 31-35 is T_DoubleConstant (value = 0.001)
,            line 4 cols 36-36 is ',' 
momentum     line 4 cols 38-45 is T_momentum 
=            line 4 cols 46-46 is '=' 
0.1          line 4 cols 47-49 is T_DoubleConstant (value = 0.1)
,            line 4 cols 50-50 is ',' 
affine       line 4 cols 52-57 is T_Identifier 
=            line 4 cols 58-58 is '=' 
True         line 4 cols 59-62 is T_BoolConstant (value = true)
,            line 4 cols 63-63 is ',' 
track_running_stats line 4 cols 65-83 is T_track_running_stats 
=            line 4 cols 84-84 is '=' 
True         line 4 cols 85-88 is T_BoolConstant (value = true)
)            line 4 cols 89-89 is ')' 
)            line 5 cols 3-3 is ')' 
