ResNet       line 1 cols 1-6 is T_Identifier 
(            line 1 cols 7-7 is '(' 
(            line 2 cols 3-3 is '(' 
conv1        line 2 cols 4-8 is T_Identifier 
)            line 2 cols 9-9 is ')' 
:            line 2 cols 10-10 is ':' 
Conv2d       line 2 cols 12-17 is T_Conv2d 
(            line 2 cols 18-18 is '(' 
3            line 2 cols 19-19 is T_IntConstant (value = 3)
,            line 2 cols 20-20 is ',' 
64           line 2 cols 22-23 is T_IntConstant (value = 64)
,            line 2 cols 24-24 is ',' 
kernel_size  line 2 cols 26-36 is T_kernel_size 
=            line 2 cols 37-37 is '=' 
(            line 2 cols 38-38 is '(' 
7            line 2 cols 39-39 is T_IntConstant (value = 7)
,            line 2 cols 40-40 is ',' 
7            line 2 cols 42-42 is T_IntConstant (value = 7)
)            line 2 cols 43-43 is ')' 
,            line 2 cols 44-44 is ',' 
stride       line 2 cols 46-51 is T_stride 
=            line 2 cols 52-52 is '=' 
(            line 2 cols 53-53 is '(' 
2            line 2 cols 54-54 is T_IntConstant (value = 2)
,            line 2 cols 55-55 is ',' 
2            line 2 cols 57-57 is T_IntConstant (value = 2)
)            line 2 cols 58-58 is ')' 
,            line 2 cols 59-59 is ',' 
padding      line 2 cols 61-67 is T_padding 
=            line 2 cols 68-68 is '=' 
(            line 2 cols 69-69 is '(' 
3            line 2 cols 70-70 is T_IntConstant (value = 3)
,            line 2 cols 71-71 is ',' 
3            line 2 cols 73-73 is T_IntConstant (value = 3)
)            line 2 cols 74-74 is ')' 
,            line 2 cols 75-75 is ',' 
bias         line 2 cols 77-80 is T_bias 
=            line 2 cols 81-81 is '=' 
False        line 2 cols 82-86 is T_BoolConstant (value = false)
)            line 2 cols 87-87 is ')' 
(            line 3 cols 3-3 is '(' 
bn1          line 3 cols 4-6 is T_Identifier 
)            line 3 cols 7-7 is ')' 
:            line 3 cols 8-8 is ':' 
BatchNorm2d  line 3 cols 10-20 is T_BatchNorm2d 
(            line 3 cols 21-21 is '(' 
64           line 3 cols 22-23 is T_IntConstant (value = 64)
,            line 3 cols 24-24 is ',' 
eps          line 3 cols 26-28 is T_eps 
=            line 3 cols 29-29 is '=' 
1e-05        line 3 cols 30-34 is T_DoubleConstant (value = 1e-05)
,            line 3 cols 35-35 is ',' 
momentum     line 3 cols 37-44 is T_momentum 
=            line 3 cols 45-45 is '=' 
0.1          line 3 cols 46-48 is T_DoubleConstant (value = 0.1)
,            line 3 cols 49-49 is ',' 
affine       line 3 cols 51-56 is T_Identifier 
=            line 3 cols 57-57 is '=' 
True         line 3 cols 58-61 is T_BoolConstant (value = true)
,            line 3 cols 62-62 is ',' 
track_running_stats line 3 cols 64-82 is T_track_running_stats 
=            line 3 cols 83-83 is '=' 
True         line 3 cols 84-87 is T_BoolConstant (value = true)
)            line 3 cols 88-88 is ')' 
(            line 4 cols 3-3 is '(' 
relu         line 4 cols 4-7 is T_Identifier 
)            line 4 cols 8-8 is ')' 
:            line 4 cols 9-9 is ':' 
ReLU         line 4 cols 11-14 is T_ReLU 
(            line 4 cols 15-15 is '(' 
inplace      line 4 cols 16-22 is T_inplace 
=            line 4 cols 23-23 is '=' 
True         line 4 cols 24-27 is T_BoolConstant (value = true)
)            line 4 cols 28-28 is ')' 
(            line 5 cols 3-3 is '(' 
maxpool      line 5 cols 4-10 is T_Identifier 
)            line 5 cols 11-11 is ')' 
:            line 5 cols 12-12 is ':' 
MaxPool2d    line 5 cols 14-22 is T_MaxPool2d 
(            line 5 cols 23-23 is '(' 
kernel_size  line 5 cols 24-34 is T_kernel_size 
=            line 5 cols 35-35 is '=' 
3            line 5 cols 36-36 is T_IntConstant (value = 3)
,            line 5 cols 37-37 is ',' 
stride       line 5 cols 39-44 is T_stride 
=            line 5 cols 45-45 is '=' 
2            line 5 cols 46-46 is T_IntConstant (value = 2)
,            line 5 cols 47-47 is ',' 
padding      line 5 cols 49-55 is T_padding 
=            line 5 cols 56-56 is '=' 
1            line 5 cols 57-57 is T_IntConstant (value = 1)
,            line 5 cols 58-58 is ',' 
dilation     line 5 cols 60-67 is T_dilation 
=            line 5 cols 68-68 is '=' 
1            line 5 cols 69-69 is T_IntConstant (value = 1)
,            line 5 cols 70-70 is ',' 
ceil_mode    line 5 cols 72-80 is T_ceil_mode 
=            line 5 cols 81-81 is '=' 
False        line 5 cols 82-86 is T_BoolConstant (value = false)
)            line 5 cols 87-87 is ')' 
(            line 6 cols 3-3 is '(' 
layer1       line 6 cols 4-9 is T_Identifier 
)            line 6 cols 10-10 is ')' 
:            line 6 cols 11-11 is ':' 
Sequential   line 6 cols 13-22 is T_Sequential 
(            line 6 cols 23-23 is '(' 
(            line 7 cols 5-5 is '(' 
0            line 7 cols 6-6 is T_IntConstant (value = 0)
)            line 7 cols 7-7 is ')' 
:            line 7 cols 8-8 is ':' 
BasicBlock   line 7 cols 10-19 is T_Identifier 
(            line 7 cols 20-20 is '(' 
(            line 8 cols 7-7 is '(' 
conv1        line 8 cols 8-12 is T_Identifier 
)            line 8 cols 13-13 is ')' 
:            line 8 cols 14-14 is ':' 
Conv2d       line 8 cols 16-21 is T_Conv2d 
(            line 8 cols 22-22 is '(' 
64           line 8 cols 23-24 is T_IntConstant (value = 64)
,            line 8 cols 25-25 is ',' 
64           line 8 cols 27-28 is T_IntConstant (value = 64)
,            line 8 cols 29-29 is ',' 
kernel_size  line 8 cols 31-41 is T_kernel_size 
=            line 8 cols 42-42 is '=' 
(            line 8 cols 43-43 is '(' 
3            line 8 cols 44-44 is T_IntConstant (value = 3)
,            line 8 cols 45-45 is ',' 
3            line 8 cols 47-47 is T_IntConstant (value = 3)
)            line 8 cols 48-48 is ')' 
,            line 8 cols 49-49 is ',' 
stride       line 8 cols 51-56 is T_stride 
=            line 8 cols 57-57 is '=' 
(            line 8 cols 58-58 is '(' 
1            line 8 cols 59-59 is T_IntConstant (value = 1)
,            line 8 cols 60-60 is ',' 
1            line 8 cols 62-62 is T_IntConstant (value = 1)
)            line 8 cols 63-63 is ')' 
,            line 8 cols 64-64 is ',' 
padding      line 8 cols 66-72 is T_padding 
=            line 8 cols 73-73 is '=' 
(            line 8 cols 74-74 is '(' 
1            line 8 cols 75-75 is T_IntConstant (value = 1)
,            line 8 cols 76-76 is ',' 
1            line 8 cols 78-78 is T_IntConstant (value = 1)
)            line 8 cols 79-79 is ')' 
,            line 8 cols 80-80 is ',' 
bias         line 8 cols 82-85 is T_bias 
=            line 8 cols 86-86 is '=' 
